13 13
NK RR NK RR .. NK NK .. 10 .. RR 30 31
XX XX XX XX XX XX XX XX XX XX XX XX 33
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX .. .. .. RR NK NK NK .. .. 20 XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. .. .. RR .. .. NK .. .. 21 43 PP
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX XX XX XX XX XX XX XX XX XX XX XX 31
RR NK .. NK .. NK RR .. 00 .. RR 32 33
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
