13 13
CR RR CR RR .. CR CR .. 10 .. RR 30 31
XX XX XX XX XX XX XX XX XX XX XX XX 33
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX .. .. .. RR NK CR NK .. .. 20 XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. .. .. RR .. .. CR .. .. 21 43 PP
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX XX XX XX XX XX XX XX XX XX XX XX 31
RR CR CR NK .. NK RR .. 00 .. RR 32 33
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
