13 13
.. GG AR RR .. AR .. .. 11 .. RR 30 31
XX XX XX XX XX XX XX XX XX XX XX XX 33
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX .. .. .. RR GG GG GG .. .. 20 XX ..
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. .. .. RR .. .. .. .. .. 21 R1 ..
XX XX XX XX XX XX XX XX XX XX XX XX PP
XX XX XX XX XX XX XX XX XX XX XX XX 31
GG AR .. 00 .. AR RR .. AR .. RR 32 33
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
