13 13
CB RR CB RR .. CB CB .. 10 .. RR 30 31
XX XX XX XX XX XX XX XX XX XX XX XX 33
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX .. .. .. RR NK CB NK .. .. 20 XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. .. .. RR .. .. CB .. .. 21 43 PP
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX XX XX XX XX XX XX XX XX XX XX XX 31
RR CB CB NK .. NK RR .. 00 .. RR 32 33
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
