13 13
.. GG AB RR AB AB AB .. 10 .. RR 30 31
XX XX XX XX XX XX XX XX XX XX XX XX 33
XX XX XX XX XX XX XX XX XX XX XX XX ..
XX .. .. .. RR GG GG GG .. .. 20 XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. XX XX XX XX XX XX XX XX .. XX PP
XX .. .. .. RR .. .. .. .. .. 21 B1 ..
XX XX XX XX XX XX XX XX XX XX XX XX PP
XX XX XX XX XX XX XX XX XX XX XX XX 31
GG AB .. AB AB AB RR .. 00 .. RR 32 33
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
XX XX XX XX XX XX XX XX XX XX XX XX XX
